"id" "name" "latitude" "longitude" "cluster"
"39" 40 " 'Good Hope Rd & MLK Ave SE'" 38.867373 -76.988039 1
"40" 41 " '19th & E Street NW'" 38.8952 -77.0436 6
"41" 42 " '4th St & Rhode Island Ave NE'" 38.919488 -77.000624 8
"42" 43 " '10th & U St NW'" 38.9172 -77.0259 8
"43" 44 " 'Georgia Ave and Fairmont St NW'" 38.9249 -77.0222 8
"44" 45 " '1st & N St  SE'" 38.8743 -77.0057 7
"45" 46 " '20th St & Florida Ave NW'" 38.9154 -77.0446 6
"46" 47 " '7th & T St NW'" 38.9155 -77.0222 8
"47" 48 " '23rd & Eads St'" 38.853613 -77.053535 3
"48" 49 " 'M St & New Jersey Ave SE'" 38.8763 -77.0037 7
"49" 51 " 'Massachusetts Ave & Dupont Circle NW'" 38.9101 -77.0444 6
"50" 52 " '1st & M St NE'" 38.9057 -77.0056 7
"51" 53 " '21st & M St NW'" 38.9054 -77.0471 6
"52" 54 " '17th & K St NW'" 38.90276 -77.03863 6
"53" 55 " '4th St & Massachusetts Ave NW'" 38.9003 -77.016 6
"54" 56 " '3rd & D St SE'" 38.8851 -77.0023 7
"55" 57 " 'Potomac & Pennsylvania Ave SE'" 38.8803 -76.9862 7
"56" 58 " '14th & D St SE'" 38.884 -76.9861 7
"57" 59 " '17th & Corcoran St NW'" 38.9121 -77.0387 6
"58" 60 " 'Van Ness Metro / UDC'" 38.944551 -77.063896 4
"59" 61 " 'Florida Ave & R St NW'" 38.9126 -77.0135 8
"60" 62 " '8th & Eye St SE / Barracks Row'" 38.8792 -76.9953 7
"61" 63 " 'Ward Circle / American University'" 38.938736 -77.087171 4
"62" 64 " 'Idaho Ave & Newark St NW [on 2nd District patio]'" 38.934751 -77.074647 4
"63" 65 " '14th St Heights / 14th & Crittenden St NW'" 38.947774 -77.032818 8
"64" 66 " 'Anacostia Library'" 38.865784 -76.9784 1
"65" 67 " 'Pennsylvania & Minnesota Ave SE'" 38.873057 -76.971015 1
"66" 68 " 'Eastern Market / 7th & North Carolina Ave SE'" 38.886952 -76.996806 7
"67" 69 " 'McPherson Square / 14th & H St NW'" 38.899641 -77.032005 6
"68" 70 " 'Benning Branch Library'" 38.894 -76.947974 1
"69" 71 " 'USDA / 12th & Independence Ave SW'" 38.887237 -77.028226 6
"70" 72 " 'Georgetown Harbor / 30th St NW'" 38.9022212 -77.059219 6
"71" 73 " '12th & Newton St NE'" 38.933668 -76.991016 8
"72" 74 " 'US Dept of State / Virginia Ave & 21st St NW'" 38.894919 -77.046587 6
"73" 75 " L'Enfant Plaza / 7th & C St SW" 38.886266 -77.022241 6
"74" 76 " '10th St & Constitution Ave NW'" 38.893028 -77.026013 6
"75" 77 " 'Kennedy Center'" 38.895184 -77.054845 6
"76" 78 " 'Eastern Market Metro / Pennsylvania Ave & 7th St SE'" 38.884 -76.995397 7
"77" 79 " '18th & M St NW'" 38.904742 -77.041606 6
"78" 80 " 'Tenleytown / Wisconsin Ave & Albemarle St NW'" 38.947607 -77.079382 4
"79" 81 " '13th & H St NE'" 38.9003 -76.9882 7
"80" 82 " '5th & F St NW'" 38.897222 -77.019347 6
"81" 83 " 'New York Ave & 15th St NW'" 38.8991 -77.0337 6
"82" 84 " 'Convention Center / 7th & M St NW'" 38.90572 -77.022264 6
"83" 85 " 'Harvard St & Adams Mill Rd NW'" 38.927872 -77.043358 8
"84" 86 " '19th & L St NW'" 38.903407 -77.043648 6
"85" 87 " 'C & O Canal & Wisconsin Ave NW'" 38.90375 -77.06269 6
"86" 88 " '7th & Water St SW / SW Waterfront'" 38.878925 -77.024016 6
"87" 89 " 'D St & Maryland Ave NE'" 38.894758 -76.997114 7
"88" 90 " '34th St & Wisconsin Ave NW'" 38.916442 -77.0682 4
"89" 91 " '13th St & New York Ave NW'" 38.900283 -77.029822 6
"90" 92 " '8th & H St NW'" 38.8997 -77.023086 6
"91" 93 " '10th & Monroe St NE'" 38.932514 -76.992889 8
"92" 94 " 'Eckington Pl & Q St NE'" 38.910972 -77.00495 7
"93" 95 " '6th & H St NE'" 38.900384 -76.99831 7
"94" 96 " '3rd & H St NE'" 38.90002 -77.002166 7
"95" 97 " 'Bladensburg Rd & Benning Rd NE'" 38.900413 -76.982872 7
"96" 98 " '4th & East Capitol St NE'" 38.889955 -77.000349 7
